company,primary_domain,vertical_group,tier,wave,fit_score,contacts_target,apollo_lists,hold,gate_notes
The Vitamin Shoppe,vitaminshoppe.com,Omnichannel Retail,Tier 2 Priority,3,73,5,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,
Hormel Foods,hormelfoods.com,CPG Multi-Brand,Tier 2 Priority,3,68,5,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | CPG Multi-Brand,False,
Savers Value Village,savers.com,Omnichannel Retail,Tier 3 Volume,3,67,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,CASL review flagged on the Method tab
Arhaus,arhaus.com,Omnichannel Retail,Tier 3 Volume,3,65,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,
Amorepacific US,amorepacific.com,Beauty & Personal Care,Tier 3 Volume,3,64,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Sol de Janeiro,soldejaneiro.com,Beauty & Personal Care,Tier 3 Volume,3,64,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Ollie's Bargain Outlet,ollies.us,Omnichannel Retail,Tier 3 Volume,3,63,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,
Rare Beauty,rarebeauty.com,Beauty & Personal Care,Tier 3 Volume,3,63,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Olaplex Holdings,olaplex.com,Beauty & Personal Care,Tier 3 Volume,3,62,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Rothy's,rothys.com,Fashion & Footwear,Tier 3 Volume,3,62,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear,False,
Sweetgreen,sweetgreen.com,"QSR, Franchise & Hospitality",Tier 3 Volume,3,62,3,"T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | QSR, Franchise & Hospitality",False,
Vera Bradley,verabradley.com,Fashion & Footwear,Tier 3 Volume,3,62,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear,False,
Ro,ro.co,Consumer Health & Wellness,Tier 3 Volume,3,61,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness,False,
Glossier,glossier.com,Beauty & Personal Care,Tier 3 Volume,3,60,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Duluth Trading Company,duluthtrading.com,Fashion & Footwear,Tier 3 Volume,3,59,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear,False,
Nutrafol,nutrafol.com,Consumer Health & Wellness,Tier 3 Volume,3,59,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness,False,
Vital Farms,vitalfarms.com,CPG Multi-Brand,Tier 3 Volume,3,59,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | CPG Multi-Brand,False,
Mielle Organics,mielleorganics.com,Beauty & Personal Care,Tier 3 Volume,3,58,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Portillo's,portillos.com,"QSR, Franchise & Hospitality",Tier 3 Volume,3,58,3,"T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | QSR, Franchise & Hospitality",False,
Thorne HealthTech,thorne.com,Consumer Health & Wellness,Tier 3 Volume,3,58,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness,False,
