rank,company,primary_domain,alt_domain,domain_confidence,in_hubspot,hs_matched_domain,hs_lifecycle,vertical,vertical_group,industry_tier,segments,revenue_band,hq,ownership,tier,wave,fit_score,hold,outbound_eligible,requires_review,gate_notes,score_industry,score_revenue,score_employees,score_spend,score_volume,score_video,score_brands,score_markets,score_locations,score_sku,score_media,score_ai,score_tech,score_procurement,primary_multiplier,fit_rationale,primary_use_case,est_first_deal,target_titles,trigger_hypothesis,verification_required,reference_to_cite,notes,apollo_lists
1,Deckers Brands,deckers.com,,High,True,deckers.com,lead,Fashion and footwear,Fashion & Footwear,Tier 1,"S2, S7",$1B to $5B,"CA, US",Public,Tier 1 Named,1,85,False,True,False,,12,10,3,8,10,6,7,7,0,6,6,5,2,3,"HOKA, UGG, Teva, AHNU, Koolaburra. Global footprint across 50+ markets. High colourway and size variation",Five brands with very different audiences plus genuinely global market coverage plus footwear colourway variation is a three dimensional multiplier. HOKA growth rate specifically has outpaced content infrastructure. Wholesale plus DTC plus marketplace each need different asset specifications,Colourway and variant imagery plus localization,$150K to $350K,VP E-commerce; Head of Creative Operations; VP Global Brand Marketing,HOKA growth investment; marketing or creative leadership change; international expansion; open content ops roles,Market and language count. Whether brands share creative resources. Colourway count per style. Creative ops structure,"PacSun, Marc Jacobs, BMW",Strongest fashion target on the list. Multi brand plus global plus growth,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear
2,e.l.f. Beauty,elfbeauty.com,elfcosmetics.com,High,True,elfbeauty.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S2, S7, S10",$1B to $5B,"CA, US",Public,Tier 1 Named,1,84,False,True,False,,12,10,3,8,10,6,7,4,0,6,6,5,2,5,"e.l.f., Naturium, Well People, Keys Soulcare, Rhode. Extremely high social cadence and trend response requirement",Highest social and trend response cadence in mass beauty. Shade and format variation across five brands. Rhode acquisition adds a fifth brand system. Growth rate has consistently outpaced infrastructure. This is a speed to trend problem more than a cost problem,Social and trend response content volume plus shade variant imagery,$150K to $350K,Head of Content; VP Brand Marketing; Head of Creative Operations,Rhode integration; marketing leadership change; international expansion; capacity hiring,Social posting cadence versus in house team size. Shade count per franchise. Whether brands share creative. Trend response time,"Sephora and LVMH, Quay, Marc Jacobs","Trend response speed is the angle, not cost. Highest beauty fit on the list",T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care
3,Carter's,carters.com,,High,True,carters.com,lead,Fashion and apparel,Fashion & Footwear,Tier 1,"S2, S7",$1B to $5B,"GA, US",Public,Tier 1 Named,1,83,False,True,False,,12,10,3,7,10,4,5,6,5,6,5,5,2,3,"Carter's, OshKosh B'gosh, Skip Hop, Little Planet. 1,000+ stores. Extremely high SKU count with size and print variation","Childrenswear carries the highest size variation in apparel, multiplied by print and colourway. Four brands plus wholesale plus DTC plus international. Turnaround context creates a cost mandate. Store count adds local assets",Size and print variant imagery plus PDP content at catalogue scale,$125K to $300K,VP E-commerce; Head of Creative Operations; VP Brand Marketing,Turnaround or cost programme; marketing leadership change; store rationalization,SKU and size variant count. Cost programme targets from investor materials. Whether brands share creative,"PacSun, Williams Sonoma",Childrenswear size variation is the largest in apparel. Use the math,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear
4,Choice Hotels International,choicehotels.com,,High,True,choicehotels.com,lead,Hospitality and franchise,"QSR, Franchise & Hospitality",Tier 2,"S2, S8",$1B to $5B,"MD, US",Public,Tier 1 Named,1,83,True,True,True,HOLD: conflict check must be cleared with Sam before outreach,12,10,3,7,10,4,8,7,5,2,5,5,2,3,"22 brands, 7,500+ hotels across 45+ countries, almost entirely franchised","Twenty two brands times 7,500 properties times 45 countries is the single largest multiplication figure on this list. Franchised model means property level asset demand is permanently unmet. Property level and brand level and market level content all compound. IHG engagement is directly relevant precedent",Property and brand level localization portal,$200K to $500K,VP Brand Marketing per brand; VP Franchise Marketing; Head of Creative Operations,Marketing leadership change; brand portfolio additions; franchisee technology investment; international expansion,Whether creative is shared across 22 brands. Franchisee asset request process. Ad fund structure. Country count,"IHG style hospitality precedent, Sam's Club, BMW",CONFLICT CHECK: competes with IHG. Clear with Sam. Highest multiplier on the list,T100 | Master | All Accounts; T100 | HOLD | Conflict Review
5,Wyndham Hotels & Resorts,wyndhamhotels.com,,High,False,,,Hospitality and franchise,"QSR, Franchise & Hospitality",Tier 2,"S2, S8",$1B to $5B,"NJ, US",Public,Tier 1 Named,1,83,True,True,True,HOLD: conflict check must be cleared with Sam before outreach,12,10,3,7,10,4,8,7,5,2,5,5,2,3,"24 brands, 9,200+ hotels across 95+ countries, almost entirely franchised",Twenty four brands and 95 countries is comparable to Choice with even broader geographic spread. Economy and midscale franchise model means property owners have minimal marketing support and high unmet asset demand. Localization requirement is extreme,Property and brand level localization portal,$200K to $500K,VP Brand Marketing; VP Franchise Marketing; Head of Creative Operations,Marketing leadership change; brand additions; franchisee technology investment; international expansion,Whether creative is shared across 24 brands. Franchisee asset process. Ad fund structure. Country and language count,"IHG style hospitality precedent, Sam's Club, BMW",CONFLICT CHECK: competes with IHG. Clear with Sam,T100 | Master | All Accounts; T100 | HOLD | Conflict Review
6,"Guess?, Inc.",guess.com,,High,True,guess.com,lead,Fashion and apparel,Fashion & Footwear,Tier 1,S2,$1B to $5B,"CA, US",Public,Tier 1 Named,2,82,False,True,False,,12,10,3,7,10,6,3,7,4,5,5,5,2,3,Global apparel and accessories across 100+ countries. Licensed product categories. Heavy campaign imagery tradition,"100+ country footprint is the strongest localization multiplier in fashion on this list. Licensed category extensions add brand governance complexity. Brand is campaign imagery driven, meaning high production volume and cost per campaign",Localization plus campaign asset variation,$125K to $300K,VP Global Marketing; Head of Creative Operations; VP E-commerce,Ownership or strategic review activity; marketing leadership change; market expansion,Country and language count. Licensed category count. Campaign production volume and cost. Creative ops structure,"Marc Jacobs, PacSun, BMW",100+ markets is the headline. Lead with localization economics,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear
7,Harley-Davidson,harley-davidson.com,,High,True,harley-davidson.com,lead,Automotive and powersports,Mobility & Devices,Tier 2,"S2, S8",$5B to $10B,"WI, US",Public,Tier 1 Named,1,82,False,True,False,,12,8,3,7,10,6,3,7,5,6,5,5,2,3,"Motorcycles plus apparel plus parts and accessories. 1,300+ dealers globally. Model, trim and colour variation. Very high P&A SKU count",Dealer network creates a localization requirement mirroring franchise. Parts and accessories catalogue is very high SKU with minimal content investment. Model times trim times colour variation. Turnaround context creates a cost mandate. Apparel line is a separate content system,Dealer localization plus P&A catalogue content,$150K to $400K,VP Marketing; Head of Creative Operations; VP Dealer Marketing,Turnaround or cost programme; marketing leadership change; dealer network investment; product launches,Dealer count and whether dealers receive asset support. P&A SKU count. Cost programme targets,"BMW, PacSun, Panasonic",BMW reference is directly on point. Dealer localization is the wedge,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Mobility & Devices
8,Sally Beauty Holdings,sallybeauty.com,sallybeautyholdings.com,High,True,sallybeauty.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S7",$1B to $5B,"TX, US",Public,Tier 1 Named,1,82,False,True,False,,12,10,3,5,10,4,7,7,5,6,3,5,2,3,"Two banners, Sally Beauty and CosmoProf. 4,400+ stores across 12+ countries. Very high SKU count including owned brands",Dual banner structure serving consumer and professional audiences with different creative requirements from the same product catalogue. 12+ country footprint at mid market revenue means localization economics are genuinely painful. Owned brand portfolio adds content need,Localization plus PDP content at catalogue scale,$125K to $300K,VP E-commerce; VP Brand Marketing; Head of Creative Operations,Digital transformation programme; marketing leadership change; owned brand expansion,Country and language count. Owned brand count. SKU content coverage. Whether the two banners share creative,"Sephora and LVMH, Sam's Club",12+ markets at mid market budget is the wedge,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
9,Victoria's Secret & Co.,victoriassecret.com,victoriassecretandco.com,High,True,victoriassecret.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S7",$5B to $10B,"OH, US",Public,Tier 1 Named,1,82,False,True,False,,12,8,3,8,10,6,5,4,5,5,6,5,2,3,"Multi brand: Victoria's Secret, PINK, Adore Me. 1,300+ stores. Heavy seasonal and collection cadence",Three distinct brand systems with different audiences under one operating structure. Turnaround and repositioning context creates a cost and speed mandate. Apparel and intimates category is colourway and size variant heavy,Portfolio governance plus colourway and collection asset systems,$150K to $400K,VP Creative Operations; VP Brand Marketing; VP E-commerce,Turnaround programme; marketing or creative leadership change; brand repositioning; cost mandate,Whether the three brands share creative resources. Cost programme targets from investor materials. Creative ops leadership,"Marc Jacobs, PacSun, Sephora and LVMH",Turnaround plus multi brand is a strong stack. Verify both,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
10,Coty Inc. Consumer Beauty,coty.com,,High,False,,,Beauty and personal care,Beauty & Personal Care,Tier 1,"S2, S7",$5B to $10B,"NY, US",Public,Tier 1 Named,1,81,False,True,False,,12,8,3,8,10,4,8,7,0,6,5,5,2,3,"40+ owned and licensed fragrance and cosmetic brands including CoverGirl, Rimmel, Max Factor, Sally Hansen plus licensed designer fragrances","One of the highest licensed brand counts in beauty, each requiring dual brand approval. Shade and format combinatorics across colour cosmetics. Genuinely global footprint. Cost and deleveraging context creates a mandate. The tail brands in this portfolio receive minimal creative investment",Licensed brand governance plus shade and variant imagery,$200K to $450K,Head of Creative Operations; VP Global Brand; VP Digital,Deleveraging or cost programme; marketing leadership change; portfolio review or divestiture,Brand count owned versus licensed. Cost programme targets from investor materials. Whether Consumer Beauty and Prestige share creative resources,"Sephora and LVMH, Marc Jacobs",Cost mandate plus licensed brand governance. Very strong stack,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care
