company,primary_domain,vertical_group,tier,wave,fit_score,contacts_target,apollo_lists,hold,gate_notes
Deckers Brands,deckers.com,Fashion & Footwear,Tier 1 Named,1,85,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
e.l.f. Beauty,elfbeauty.com,Beauty & Personal Care,Tier 1 Named,1,84,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Carter's,carters.com,Fashion & Footwear,Tier 1 Named,1,83,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Choice Hotels International,choicehotels.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,83,6,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Wyndham Hotels & Resorts,wyndhamhotels.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,83,6,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Harley-Davidson,harley-davidson.com,Mobility & Devices,Tier 1 Named,1,82,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Mobility & Devices,False,
Sally Beauty Holdings,sallybeauty.com,Omnichannel Retail,Tier 1 Named,1,82,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Victoria's Secret & Co.,victoriassecret.com,Omnichannel Retail,Tier 1 Named,1,82,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Coty Inc. Consumer Beauty,coty.com,Beauty & Personal Care,Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
"Crocs, Inc.",crocs.com,Fashion & Footwear,Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
