account,route,note
Sam's Club / Walmart,HubSpot warm. Expansion motion,Bentonville visit in planning. Approved cold reference
Amazon / Amazon Ads,HubSpot warm. Expansion motion,Approved cold reference
Coca-Cola,HubSpot warm,Approved cold reference
Sephora / LVMH,HubSpot warm. LATERAL EXPANSION PRIORITY,"Approved cold reference. Other LVMH maisons are a warm intro path, never cold"
Marc Jacobs,HubSpot warm,LVMH orbit. Approved cold reference
Benefit Cosmetics,HubSpot warm,LVMH orbit
IHG,HubSpot warm. Expansion motion,"Competitor conflict check applies to Choice, Wyndham, Hyatt"
Keurig Dr Pepper,HubSpot warm. High priority,A&W sizzle plus second soda brand track
Mattress Firm,HubSpot warm,Chasing Tom Murray commitments
Carlsberg,HubSpot warm,Cold outbound sourced. Scoping underway
ResMed,HubSpot warm,Directly relevant precedent for Dexcom and iRhythm
Medical Guardian,HubSpot warm,Commercial conversation in progress
Nacelle,HubSpot warm,iKHOR Labs tool partnership adjacent
Smoothie King,HubSpot warm,CONFLICT: GoTo Foods owns Jamba. Clear before GoTo outreach
Kura Sushi,HubSpot warm,PoC framing developed
Supersure,HubSpot warm,Legal work ongoing on contract
Chime,HubSpot warm,The Financial Services Rule exception case
OnePay,HubSpot warm,Direct outreach sourced
Williams Sonoma,HubSpot warm,Approved cold reference
BMW,HubSpot warm,Approved cold reference
PacSun,HubSpot warm,Approved cold reference
Quay,HubSpot warm,Approved cold reference
SimpliSafe,HubSpot warm,Approved cold reference
CyberArk,HubSpot warm,Approved cold reference
Headline,HubSpot warm,Approved cold reference
Svedka / Sazerac,HubSpot warm,Approved cold reference
Panasonic,HubSpot warm,Approved cold reference
Goodwill,HubSpot warm,Approved cold reference
Adobe,HubSpot warm,Boilerplate only. NOT on the approved cold reference list
Fifth Third Bank,HubSpot warm,Boilerplate only. NOT on the approved cold reference list
Toptal,HubSpot warm,Train concept proposal
MediaSense,HubSpot warm,Credentials response prepared
Hershey / Reese's,HOLD,Referenced as a proof point in a KDP conversation. Confirm before any outreach
Nestle brands referenced in past decks,HOLD,Confirm with Sam before adding to any sequence
Pereira O'Dell client roster,HOLD. Route via Rob,Pull the current PO'D active client list and suppress it
Serviceplan Group client roster,HOLD. Route via Rob,Pull the current Serviceplan active client list and suppress it
