name,domain,subindustry,industry_tier,revenue_band,ownership_type,account_segment,primary_multiplier,icp_fit_score,account_tier,outbound_eligible,warm_only,hq_state,hq_country
Deckers Brands,deckers.com,Fashion and footwear,Tier 1,$1B to $5B,Public,S2;S7,"HOKA, UGG, Teva, AHNU, Koolaburra. Global footprint across 50+ markets. High colourway and size variation",85,Tier 1 Named,true,false,CA,US
e.l.f. Beauty,elfbeauty.com,Beauty and personal care,Tier 1,$1B to $5B,Public,S2;S7;S10,"e.l.f., Naturium, Well People, Keys Soulcare, Rhode. Extremely high social cadence and trend response requirement",84,Tier 1 Named,true,false,CA,US
Carter's,carters.com,Fashion and apparel,Tier 1,$1B to $5B,Public,S2;S7,"Carter's, OshKosh B'gosh, Skip Hop, Little Planet. 1,000+ stores. Extremely high SKU count with size and print variation",83,Tier 1 Named,true,false,GA,US
Choice Hotels International,choicehotels.com,Hospitality and franchise,Tier 2,$1B to $5B,Public,S2;S8,"22 brands, 7,500+ hotels across 45+ countries, almost entirely franchised",83,Tier 1 Named,true,false,MD,US
Wyndham Hotels & Resorts,wyndhamhotels.com,Hospitality and franchise,Tier 2,$1B to $5B,Public,S2;S8,"24 brands, 9,200+ hotels across 95+ countries, almost entirely franchised",83,Tier 1 Named,true,false,NJ,US
"Guess?, Inc.",guess.com,Fashion and apparel,Tier 1,$1B to $5B,Public,S2,Global apparel and accessories across 100+ countries. Licensed product categories. Heavy campaign imagery tradition,82,Tier 1 Named,true,false,CA,US
Harley-Davidson,harley-davidson.com,Automotive and powersports,Tier 2,$5B to $10B,Public,S2;S8,"Motorcycles plus apparel plus parts and accessories. 1,300+ dealers globally. Model, trim and colour variation. Very high P&A SKU count",82,Tier 1 Named,true,false,WI,US
Sally Beauty Holdings,sallybeauty.com,Omnichannel retail,Tier 1,$1B to $5B,Public,S2;S4;S7,"Two banners, Sally Beauty and CosmoProf. 4,400+ stores across 12+ countries. Very high SKU count including owned brands",82,Tier 1 Named,true,false,TX,US
Victoria's Secret & Co.,victoriassecret.com,Omnichannel retail,Tier 1,$5B to $10B,Public,S2;S4;S7,"Multi brand: Victoria's Secret, PINK, Adore Me. 1,300+ stores. Heavy seasonal and collection cadence",82,Tier 1 Named,true,false,OH,US
Coty Inc. Consumer Beauty,coty.com,Beauty and personal care,Tier 1,$5B to $10B,Public,S2;S7,"40+ owned and licensed fragrance and cosmetic brands including CoverGirl, Rimmel, Max Factor, Sally Hansen plus licensed designer fragrances",81,Tier 1 Named,true,false,NY,US
"Crocs, Inc.",crocs.com,Fashion and footwear,Tier 1,$1B to $5B,Public,S2;S7,Crocs and HEYDUDE. Extreme colourway and collaboration volume. Jibbitz accessory system. 80+ markets,81,Tier 1 Named,true,false,CO,US
Hyatt Hotels,hyatt.com,Hospitality,Tier 2,$5B to $10B,Public,S2;S7,"30+ brands, 1,400+ properties across 75+ countries. Mixed managed, franchised and owned",81,Tier 1 Named,true,false,IL,US
Inter Parfums,interparfumsinc.com,Beauty and personal care,Tier 1,$1B to $5B,Public,S2;S7,"15+ licensed fragrance brands including Jimmy Choo, Coach, Montblanc, Kate Spade, Guess, Ferragamo, plus owned brands",81,Tier 1 Named,true,false,NY,US
Steve Madden,stevemadden.com,Fashion and footwear,Tier 1,$1B to $5B,Public,S2;S7,"Steve Madden, Dolce Vita, Betsey Johnson, Greats, Anne Klein, plus licensed brands. Wholesale plus DTC plus marketplace",81,Tier 1 Named,true,false,NY,US
Dine Brands Global,dinebrands.com,QSR and franchise,Tier 1,$500M to $1B,Public,S8,"Applebee's, IHOP, Fuzzy's Taco Shop. 3,500+ locations, almost entirely franchised. International presence",80,Tier 1 Named,true,false,CA,US
Oddity Tech,oddity.com,Beauty and personal care,Tier 1,$500M to $1B,Public,S3;S10,IL MAKIAGE and SpoiledChild. Technology led DTC beauty with extremely high performance creative volume,80,Tier 1 Named,true,false,,NY and Israel
Bath & Body Works,bathandbodyworks.com,Omnichannel retail,Tier 1,$5B to $10B,Public,S2;S4,"1,800+ stores, very high SKU count with continuous fragrance and seasonal collection turnover",79,Tier 1 Named,true,false,OH,US
Church & Dwight,churchdwight.com,CPG multi brand,Tier 1,$5B to $10B,Public,S2;S7,"15+ consumer brands across household and personal care. Multi retailer: mass, club, grocery, Amazon",79,Tier 1 Named,true,false,NJ,US
Clorox,clorox.com,CPG multi brand,Tier 1,$5B to $10B,Public,S2;S7,"12+ brands including Clorox, Burt's Bees, Hidden Valley, Brita, Glad. International divisions",79,Tier 1 Named,true,false,CA,US
E. & J. Gallo Winery,gallo.com,CPG multi brand,Tier 1,$1B to $5B,Family owned,S2;S7,Largest wine portfolio in the US. 100+ brands and several hundred labels across price tiers,79,Tier 1 Named,true,false,CA,US
Edgewell Personal Care,edgewell.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S7,"Schick, Wilkinson Sword, Banana Boat, Hawaiian Tropic, Wet Ones, Playtex, Billie, Jack Black. 20+ markets",79,Tier 1 Named,true,false,CT,US
GoTo Foods,gotofoods.com,QSR and franchise,Tier 1,$1B to $5B,PE backed,S8;S9,"Seven brands: Cinnabon, Auntie Anne's, Jamba, Moe's, Carvel, Schlotzsky's, McAlister's. 6,700+ locations, franchised",79,Tier 1 Named,true,false,GA,US
Kontoor Brands,kontoorbrands.com,Fashion and footwear,Tier 1,$1B to $5B,Public,S2;S7,"Wrangler, Lee, Helly Hansen. Global footprint across 65+ markets. Very high SKU count with fit, wash and size variation",79,Tier 1 Named,true,false,NC,US
Academy Sports and Outdoors,academy.com,Omnichannel retail,Tier 1,$5B to $10B,Public,S2;S4,"280+ stores with expansion programme. 100,000+ SKUs. Growing owned brand portfolio. Emerging retail media",78,Tier 1 Named,true,false,TX,US
Celsius Holdings,celsius.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S10,High growth energy portfolio plus Alani Nu acquisition. Very high flavour SKU count and heavy creator marketing,78,Tier 1 Named,true,false,FL,US
Fossil Group,fossilgroup.com,Fashion and accessories,Tier 1,$1B to $5B,Public,S2;S7,"Fossil, Skagen, Zodiac plus licensed watch brands including Michael Kors, Armani Exchange, Diesel, Emporio Armani",78,Tier 1 Named,true,false,TX,US
McCormick & Company,mccormick.com,CPG multi brand,Tier 1,$5B to $10B,Public,S2;S7,"Spice, seasoning and condiment portfolio including Frank's RedHot, French's, Cholula, Old Bay. Global footprint",78,Tier 1 Named,true,false,MD,US
Bloomin' Brands,bloominbrands.com,QSR and franchise,Tier 1,$1B to $5B,Public,S8,"Outback Steakhouse, Carrabba's, Bonefish Grill, Fleming's. 1,400+ locations plus international franchise",77,Tier 2 Priority,true,false,FL,US
GNC Holdings,gnc.com,Omnichannel retail,Tier 1,$1B to $5B,PE backed,S3;S8,"2,000+ locations including franchised stores. Extensive owned brand portfolio. High SKU count with claim heavy category",77,Tier 2 Priority,true,false,PA,US
Helen of Troy,helenoftroy.com,CPG multi brand,Tier 1,$1B to $5B,Public,S2;S7,"10+ brands including OXO, Hydro Flask, Osprey, Drybar, Curlsmith plus licensed Braun, Vicks and Honeywell. Very high SKU count",77,Tier 2 Priority,true,false,TX,US
Inspire Brands,inspirebrands.com,QSR and franchise,Tier 1,Over $10B,PE backed,S8;S9,"Six brands: Arby's, Dunkin', Sonic, Buffalo Wild Wings, Jimmy John's, Rusty Taco. 32,000+ locations, predominantly franchised",77,Tier 2 Priority,true,false,GA,US
Oxford Industries,oxfordinc.com,Fashion and apparel,Tier 1,$1B to $5B,Public,S2;S7,"Tommy Bahama, Lilly Pulitzer, Johnny Was, Southern Tide, Duck Head. 200+ retail locations plus restaurants",77,Tier 2 Priority,true,false,GA,US
Petco Health and Wellness,petco.com,Omnichannel retail,Tier 1,$5B to $10B,Public,S2;S4;S6,"1,500+ locations including in store services and vet clinics. High SKU count. Owned brand portfolio. Retail media network",77,Tier 2 Priority,true,false,CA,US
The J.M. Smucker Company,jmsmucker.com,CPG multi brand,Tier 1,$5B to $10B,Public,S2;S7,"Portfolio including Folgers, Jif, Smucker's, Hostess, Cafe Bustelo. Recent large acquisition integration",77,Tier 2 Priority,true,false,OH,US
Bausch + Lomb,bauschlomb.com,Consumer health and device,Tier 2,$1B to $5B,Public,S2;S7,"Contact lens, surgical and consumer eye health portfolio. 100+ markets. Regulated claims across all categories",76,Tier 2 Priority,true,false,,NJ and Canada
Boot Barn Holdings,bootbarn.com,Omnichannel retail,Tier 1,$1B to $5B,Public,S3;S4,450+ stores with strong expansion. Exclusive brand portfolio at 35%+ of sales. High SKU count with size and width variation,76,Tier 2 Priority,true,false,CA,US
Kenvue,kenvue.com,Beauty and personal care,Tier 1,Over $10B,Public,S2;S7,"Neutrogena, Aveeno, Listerine, Tylenol, Band-Aid, Zyrtec and 20+ more. Global footprint across 100+ markets",76,Tier 2 Priority,true,false,NJ,US
Molson Coors,molsoncoors.com,CPG multi brand,Tier 1,Over $10B,Public,S2;S7,"Multi brand beer portfolio plus emerging beverage brands. US, Canada, UK and EMEA operations",76,Tier 2 Priority,true,false,CO,US
Papa John's International,papajohns.com,QSR and franchise,Tier 1,$1B to $5B,Public,S8,"5,900+ locations across 45+ countries, predominantly franchised. Heavy promotional and LTO cadence",76,Tier 2 Priority,true,false,GA,US
Beiersdorf North America,beiersdorfusa.com,Beauty and personal care,Tier 1,$1B to $5B,Subsidiary,S2;S7,"Nivea, Coppertone, Eucerin, Aquaphor, La Prairie in the Americas. Regional P&L within a global parent",75,Tier 2 Priority,true,false,CT,US
Chobani,chobani.com,CPG multi brand,Tier 1,$1B to $5B,Private,S3;S7,"Yogurt, coffee, creamer and oat portfolio. High SKU and flavour count. Private, founder led",75,Tier 2 Priority,true,false,NY,US
Constellation Brands,cbrands.com,CPG multi brand,Tier 1,Over $10B,Public,S2;S7,"Beer, wine and spirits portfolio with 100+ brands and labels. Multi state regulatory variation",75,Tier 2 Priority,true,false,NY,US
Dick's Sporting Goods,dickssportinggoods.com,Omnichannel retail,Tier 1,Over $10B,Public,S2;S4;S6,"850+ stores across multiple banners, 100,000+ SKUs, operates a retail media network, growing private label portfolio",75,Tier 2 Priority,true,false,PA,US
Energizer Holdings,energizerholdings.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S7,"Energizer, Rayovac plus auto care brands Armor All, STP, A/C Pro. Global distribution in 50+ markets",75,Tier 2 Priority,true,false,MO,US
RH,rh.com,Omnichannel retail,Tier 1,$1B to $5B,Public,S3;S4,Luxury home furnishings with multiple collections and galleries. Very high production value imagery standard. International expansion underway,75,Tier 2 Priority,true,false,CA,US
Shiseido Americas,shiseido.com,Beauty and personal care,Tier 1,$1B to $5B,Subsidiary,S2;S7,"Shiseido, NARS, Drunk Elephant, Clé de Peau, Dior beauty licence in the Americas region",75,Tier 2 Priority,true,false,NY,US
Whirlpool Corporation,whirlpool.com,Consumer electronics and appliances,Tier 2,Over $10B,Public,S2;S7,"Whirlpool, KitchenAid, Maytag, JennAir, Amana, Consul, Brastemp. Very high SKU count. Global footprint",75,Tier 2 Priority,true,false,MI,US
Wingstop,wingstop.com,QSR and franchise,Tier 1,$500M to $1B,Public,S8,"2,500+ locations, 98% franchised, aggressive unit growth, international expansion, monthly promotional cadence",75,Tier 2 Priority,true,false,TX,US
Driven Brands Holdings,drivenbrands.com,Multi unit franchise services,Tier 2,$1B to $5B,Public,S8;S9,"Take 5, Meineke, CARSTAR, Maaco, 1-800-Radiator and more. 5,000+ locations across 15+ brands, predominantly franchised",74,Tier 2 Priority,true,false,NC,US
Hain Celestial Group,hain.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S7,"20+ natural and organic brands including Celestial Seasonings, Terra, Garden Veggie, Earth's Best. US, UK and Europe",74,Tier 2 Priority,true,false,NJ,US
Tractor Supply Company,tractorsupply.com,Omnichannel retail,Tier 1,Over $10B,Public,S2;S4;S6,"2,300+ stores, 100,000+ SKUs, operates a retail media network, strong private label portfolio",74,Tier 2 Priority,true,false,TN,US
Dexcom,dexcom.com,Consumer health and device,Tier 2,$1B to $5B,Public,S2,Continuous glucose monitoring. Direct to consumer advertising at scale plus HCP channel. 25+ markets,73,Tier 2 Priority,true,false,CA,US
Hims & Hers Health,hims.com,Consumer health and wellness,Tier 2,$1B to $5B,Public,S2;S10,Telehealth and DTC pharmacy across multiple condition categories. Extremely high performance creative volume. Rapid category expansion,73,Tier 2 Priority,true,false,CA,US
Jack in the Box Inc.,jackinthebox.com,QSR and franchise,Tier 1,$1B to $5B,Public,S8,"Jack in the Box and Del Taco. 2,800+ locations, predominantly franchised. Regional concentration with expansion",73,Tier 2 Priority,true,false,CA,US
Panera Brands,panerabrands.com,QSR and franchise,Tier 1,$5B to $10B,PE backed,S8;S9,"Panera Bread, Caribou Coffee, Einstein Bros Bagels. 4,000+ locations, mixed franchise and company operated",73,Tier 2 Priority,true,false,MO,US
The Simply Good Foods Company,simplygoodfoodscompany.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S7,"Quest, Atkins and OWYN. High SKU count across bars, shakes, snacks and multiple flavour lines",73,Tier 2 Priority,true,false,CO,US
The Vitamin Shoppe,vitaminshoppe.com,Omnichannel retail,Tier 1,$1B to $5B,PE backed,S3;S8,600+ locations plus e-commerce. Owned brand portfolio. Claim heavy supplement category with high SKU count,73,Tier 2 Priority,true,false,NJ,US
Utz Brands,utzsnacks.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S7,"15+ regional snack brands including Utz, Zapp's, On The Border, Boulder Canyon",73,Tier 2 Priority,true,false,PA,US
