account,status,vertical,route,note
Sam's Club / Walmart,"Live client. ISB retainer, Phase 2 open",Omnichannel retail,HubSpot warm. Expansion motion,Bentonville visit in planning. Approved cold reference
Amazon / Amazon Ads,Live or prior client,Marketplace and retail media,HubSpot warm. Expansion motion,Approved cold reference
Coca-Cola,Client,CPG beverage,HubSpot warm,Approved cold reference
Sephora / LVMH,Client,Beauty retail,HubSpot warm. LATERAL EXPANSION PRIORITY,"Approved cold reference. Other LVMH maisons are a warm intro path, never cold"
Marc Jacobs,Client. In commission attribution scope,Fashion,HubSpot warm,LVMH orbit. Approved cold reference
Benefit Cosmetics,Client. In commission attribution scope,Beauty,HubSpot warm,LVMH orbit
IHG,Client. Two SOWs closed,Hospitality,HubSpot warm. Expansion motion,"Competitor conflict check applies to Choice, Wyndham, Hyatt"
Keurig Dr Pepper,Active pursuit. POC in development,CPG beverage,HubSpot warm. High priority,A&W sizzle plus second soda brand track
Mattress Firm,"Active pursuit. Qualified to Buy, $75K",Retail,HubSpot warm,Chasing Tom Murray commitments
Carlsberg,Active pursuit. NDA executed,CPG beverage,HubSpot warm,Cold outbound sourced. Scoping underway
ResMed,Active pursuit. TVC proposal,Medical device,HubSpot warm,Directly relevant precedent for Dexcom and iRhythm
Medical Guardian,Active pursuit. Brand Brain demo done,Consumer health,HubSpot warm,Commercial conversation in progress
Nacelle,Active negotiation. Animation retainer,Media and entertainment IP,HubSpot warm,iKHOR Labs tool partnership adjacent
Smoothie King,Active pursuit. ~$2.46M proposed,QSR franchise,HubSpot warm,CONFLICT: GoTo Foods owns Jamba. Clear before GoTo outreach
Kura Sushi,Prior pursuit,Restaurants,HubSpot warm,PoC framing developed
Supersure,Client. $1.08M retainer,Services,HubSpot warm,Legal work ongoing on contract
Chime,Client. $146K AI TVC,Consumer fintech,HubSpot warm,The Financial Services Rule exception case
OnePay,Client or prior pursuit,Consumer fintech,HubSpot warm,Direct outreach sourced
Williams Sonoma,Client,Retail home,HubSpot warm,Approved cold reference
BMW,Client,Automotive,HubSpot warm,Approved cold reference
PacSun,Client,Fashion retail,HubSpot warm,Approved cold reference
Quay,Client,Eyewear and accessories,HubSpot warm,Approved cold reference
SimpliSafe,Client,Consumer home safety,HubSpot warm,Approved cold reference
CyberArk,Client,B2B software,HubSpot warm,Approved cold reference
Headline,Client,Venture capital,HubSpot warm,Approved cold reference
Svedka / Sazerac,Client,Spirits,HubSpot warm,Approved cold reference
Panasonic,Client,Consumer electronics,HubSpot warm,Approved cold reference
Goodwill,Client,Nonprofit retail,HubSpot warm,Approved cold reference
Adobe,Boilerplate named client,Software,HubSpot warm,Boilerplate only. NOT on the approved cold reference list
Fifth Third Bank,Boilerplate named client,Financial services,HubSpot warm,Boilerplate only. NOT on the approved cold reference list
Toptal,"Prior proposal, $75K",B2B marketplace,HubSpot warm,Train concept proposal
MediaSense,Inbound inquiry,Consultancy,HubSpot warm,Credentials response prepared
Hershey / Reese's,AMBIGUOUS. Verify status with Sam,CPG confection,HOLD,Referenced as a proof point in a KDP conversation. Confirm before any outreach
Nestle brands referenced in past decks,AMBIGUOUS. Verify,CPG,HOLD,Confirm with Sam before adding to any sequence
Pereira O'Dell client roster,Channel conflict risk,All,HOLD. Route via Rob,Pull the current PO'D active client list and suppress it
Serviceplan Group client roster,Channel conflict risk,All,HOLD. Route via Rob,Pull the current Serviceplan active client list and suppress it
